"Citation: Samuel H. Williamson, 'Daily Closing Value of the Dow Jones Average, 1885 to Present,' MeasuringWorth, 2026. "
"Date","DJIA"
"11/1/1917","71.41"
"11/2/1917","72.52"
"11/3/1917","72.32"
"11/5/1917","69.93"
"11/7/1917","71.54"
"11/8/1917","68.58"
"11/9/1917","69.36"
"11/10/1917","70.3"
"11/12/1917","70.65"
"11/13/1917","70.35"
"11/14/1917","69.15"
"11/15/1917","69.1"
"11/16/1917","69.75"
"11/17/1917","70.41"
"11/19/1917","71.51"
"11/20/1917","72.8"
"11/21/1917","73.57"
"11/22/1917","72.95"
"11/23/1917","74.23"
"11/24/1917","73.51"
"11/26/1917","74.03"
"11/27/1917","73.8"
"11/28/1917","73.25"
"11/30/1917","72.65"
"12/1/1917","72.86"
"12/3/1917","72.55"
"12/4/1917","70.72"
"12/5/1917","71.68"
"12/6/1917","71.01"
"12/7/1917","70.29"
"12/8/1917","70.31"
"12/10/1917","70.49"
"12/11/1917","68.78"
"12/12/1917","67.3"
"12/13/1917","66.96"
"12/14/1917","68.65"
"12/15/1917","67.53"
"12/17/1917","67.08"
"12/18/1917","67.31"
"12/19/1917","65.95"
"12/20/1917","67.13"
"12/21/1917","68.25"
"12/22/1917","68.23"
"12/24/1917","69.29"
"12/26/1917","68.33"
"12/27/1917","70.49"
"12/28/1917","72.13"
"12/29/1917","72.45"
"12/31/1917","74.38"
"1/2/1918","76.68"
"1/3/1918","76.18"
"1/4/1918","75.56"
"1/5/1918","73.75"
"1/7/1918","74.86"
"1/8/1918","74.63"
"1/9/1918","75.61"
"1/10/1918","76.33"
"1/11/1918","75"
"1/12/1918","74.48"
"1/14/1918","73.48"
"1/15/1918","73.38"
"1/16/1918","74.6"
"1/17/1918","74.48"
"1/18/1918","74.55"
"1/19/1918","74.89"
"1/21/1918","76.11"
"1/22/1918","75.75"
"1/23/1918","75.43"
"1/24/1918","75.92"
"1/25/1918","76.5"
"1/26/1918","76.44"
"1/29/1918","77.13"
"1/30/1918","76.98"
"1/31/1918","79.8"
"2/1/1918","79.28"
"2/2/1918","79.77"
"2/5/1918","79.28"
"2/6/1918","78.93"
"2/7/1918","77.78"
"2/8/1918","78.44"
"2/9/1918","78.98"
"2/13/1918","78.73"
"2/14/1918","78.71"
"2/15/1918","79.96"
"2/16/1918","80.08"
"2/18/1918","81.53"
"2/19/1918","82.08"
"2/20/1918","81.28"
"2/21/1918","80.53"
"2/23/1918","79.88"
"2/25/1918","79.17"
"2/26/1918","80.65"
